"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2715","Main website navigation","","Thu Aug 07 14:31:42 GMT 2025","passed","Thu Aug 07 14:31:45 GMT 2025","","","",""
"","3753","Select country from homepage","","Thu Aug 07 14:31:34 GMT 2025","passed","Thu Aug 07 14:31:38 GMT 2025","","","",""
"","4906","Browse beer kegs catalog","","Thu Aug 07 14:31:29 GMT 2025","passed","Thu Aug 07 14:31:34 GMT 2025","","","",""
"","2222","Add products to shopping cart","","Thu Aug 07 14:31:48 GMT 2025","broken","Thu Aug 07 14:31:51 GMT 2025","","","",""
"","3427","View PerfectDraft machine options","","Thu Aug 07 14:31:38 GMT 2025","failed","Thu Aug 07 14:31:42 GMT 2025","","","",""
"","2780","Add new BrewDog keg to shopping cart","","Thu Aug 07 14:31:45 GMT 2025","broken","Thu Aug 07 14:31:48 GMT 2025","","","",""
