"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2511","Add products to shopping cart","","Thu Aug 07 10:03:43 GMT 2025","broken","Thu Aug 07 10:03:46 GMT 2025","","","",""
"","6024","View PerfectDraft machine options","","Thu Aug 07 10:03:30 GMT 2025","failed","Thu Aug 07 10:03:36 GMT 2025","","","",""
"","2604","Add new BrewDog keg to shopping cart","","Thu Aug 07 10:03:40 GMT 2025","broken","Thu Aug 07 10:03:43 GMT 2025","","","",""
"","3074","User login and logout","","Thu Aug 07 10:03:17 GMT 2025","broken","Thu Aug 07 10:03:20 GMT 2025","","","",""
"","4661","Browse beer kegs catalog","","Thu Aug 07 10:03:20 GMT 2025","passed","Thu Aug 07 10:03:25 GMT 2025","","","",""
"","4620","Select country from homepage","","Thu Aug 07 10:03:25 GMT 2025","passed","Thu Aug 07 10:03:30 GMT 2025","","","",""
"","3486","Register new user account","","Thu Aug 07 10:03:13 GMT 2025","broken","Thu Aug 07 10:03:16 GMT 2025","","","",""
"","3109","Main website navigation","","Thu Aug 07 10:03:37 GMT 2025","passed","Thu Aug 07 10:03:40 GMT 2025","","","",""
