"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","PerfectDraft Website Core Functionality","1","0","Find Community Store locations","0"
"0","","0","Find Community Store locations","1","0","Find Community Store locations","0"
"0","","0","PerfectDraft Website Core Functionality","3","0","Navigate to different country websites","0"
"0","","0","Navigate to different country websites","3","0","Navigate to different country websites","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Select country from homepage","0"
"0","","0","Select country from homepage","1","0","Select country from homepage","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","View promotional keg packs","0"
"0","","0","View promotional keg packs","1","0","View promotional keg packs","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","View PerfectDraft machine options","0"
"0","","0","View PerfectDraft machine options","1","0","View PerfectDraft machine options","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Complete checkout process as guest user","0"
"0","","0","Complete checkout process as guest user","1","0","Complete checkout process as guest user","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","View detailed product information","0"
"0","","0","View detailed product information","1","0","View detailed product information","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Add products to shopping cart","0"
"0","","0","Add products to shopping cart","1","0","Add products to shopping cart","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Add new Camden Hells keg to shopping cart","0"
"0","","0","Add new Camden Hells keg to shopping cart","1","0","Add new Camden Hells keg to shopping cart","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Modify cart contents","0"
"0","","0","Modify cart contents","1","0","Modify cart contents","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Browse beer kegs catalog","0"
"0","","0","Browse beer kegs catalog","1","0","Browse beer kegs catalog","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Search for specific products","0"
"0","","0","Search for specific products","1","0","Search for specific products","0"
"0","","0","PerfectDraft Website Core Functionality","1","0","Main website navigation","0"
"0","","0","Main website navigation","1","0","Main website navigation","0"
